sid,grp,tid,nlrn,nint,ncomp,ntime,nprog,nrule,nlrn2,lrn,int,comp,time,prog,rule,lrn2
297,1,3,0.2857142857142856,-0.7142857142857144,3.2857142857142856,1.2857142857142856,0.2857142857142856,-1.7142857142857144,2.2857142857142856,6,5,9,7,6,4,8
297,1,4,3.2857142857142856,-4.714285714285714,4.285714285714286,4.285714285714286,-4.714285714285714,-4.714285714285714,-3.7142857142857144,9,1,10,10,1,1,2
298,1,1,2.178571428571429,2.178571428571429,-3.821428571428571,-1.8214285714285712,1.1785714285714288,1.1785714285714288,-0.8214285714285712,10,10,4,6,9,9,7
298,1,2,2.178571428571429,2.178571428571429,-5.821428571428571,-3.821428571428571,2.178571428571429,2.178571428571429,-3.821428571428571,10,10,2,4,10,10,4
298,1,3,2.178571428571429,2.178571428571429,-0.8214285714285712,1.1785714285714288,-0.8214285714285712,0.17857142857142883,-0.8214285714285712,10,10,7,9,7,8,7
298,1,4,2.178571428571429,2.178571428571429,2.178571428571429,2.178571428571429,-3.821428571428571,-4.821428571428571,1.1785714285714288,10,10,10,10,4,3,9
299,1,1,2.821428571428571,-1.1785714285714288,-4.178571428571429,-3.178571428571429,1.8214285714285712,3.821428571428571,-3.178571428571429,9,5,2,3,8,10,3
299,1,2,-3.178571428571429,-1.1785714285714288,-4.178571428571429,-3.178571428571429,2.821428571428571,3.821428571428571,-4.178571428571429,3,5,2,3,9,10,2
299,1,3,1.8214285714285712,0.8214285714285712,0.8214285714285712,1.8214285714285712,-1.1785714285714288,-2.178571428571429,0.8214285714285712,8,7,7,8,5,4,7
299,1,4,1.8214285714285712,1.8214285714285712,3.821428571428571,3.821428571428571,-2.178571428571429,-2.178571428571429,2.821428571428571,8,8,10,10,4,4,9
300,1,1,-3.6071428571428568,0.39285714285714324,-4.607142857142857,-4.607142857142857,4.392857142857143,4.392857142857143,-4.607142857142857,2,6,1,1,10,10,1
300,1,2,1.3928571428571432,-0.6071428571428568,0.39285714285714324,-2.6071428571428568,1.3928571428571432,4.392857142857143,4.392857142857143,7,5,6,3,7,10,10
300,1,3,4.392857142857143,-4.607142857142857,1.3928571428571432,-0.6071428571428568,-3.6071428571428568,-0.6071428571428568,-0.6071428571428568,10,1,7,5,2,5,5
300,1,4,4.392857142857143,4.392857142857143,4.392857142857143,4.392857142857143,-4.607142857142857,-4.607142857142857,-4.607142857142857,10,10,10,10,1,1,1
301,1,1,-4.357142857142857,-3.3571428571428568,-4.357142857142857,-4.357142857142857,4.642857142857143,4.642857142857143,-4.357142857142857,1,2,1,1,10,10,1
301,1,2,-3.3571428571428568,-3.3571428571428568,-4.357142857142857,-4.357142857142857,4.642857142857143,4.642857142857143,-4.357142857142857,2,2,1,1,10,10,1
301,1,3,4.642857142857143,-2.3571428571428568,1.6428571428571432,1.6428571428571432,2.6428571428571432,4.642857142857143,-4.357142857142857,10,3,7,7,8,10,1
301,1,4,4.642857142857143,3.6428571428571432,4.642857142857143,4.642857142857143,-3.3571428571428568,-2.3571428571428568,1.6428571428571432,10,9,10,10,2,3,7
302,1,1,0.17857142857142883,-0.8214285714285712,-4.821428571428571,-4.821428571428571,4.178571428571429,4.178571428571429,-4.821428571428571,6,5,1,1,10,10,1
